day_index,date,type,text
1,2025-12-31,compliment,"Этот год был разным. Но он был живым. И в нём была ты — а значит, он точно был хорошим."
2,2026-01-01,future,"Все думаю о том, какая ты красивая в свадебном платье"
3,2026-01-02,compliment,"Твои глаза — это не просто цвет, а целая вселенная со своими законами притяжения, куда хочется возвращаться снова и снова."
4,2026-01-03,support,Сегодня можно не спешить. Всё важное уже рядом.
5,2026-01-04,game,"Помню как ты смотрела на меня на том самом фестивале. Этот взгляд был заманивающим, настоящей лисы."
6,2026-01-05,compliment,"Твой запах — это не просто парфюм, а твоя личная атмосфера, в которой хочется дышать полной грудью и находить умиротворение."
7,2026-01-06,certificate,"🎟 Сертификат на ништяк с WB — выбираем вместе, без спешки."
8,2026-01-07,compliment,"Мне нравится, что рядом с тобой можно быть настоящим."
9,2026-01-08,support,"Несмотря на все проблемы, я всегда остаюсь рядом с тобой."
10,2026-01-09,compliment,"Ты как магнит для хороших историй: с тобой постоянно случаются или притягиваются удивительные моменты, и ты делишься ими, делая и наш мир ярче."
11,2026-01-10,game,"Как ты думаешь, какое событие сегодня для тебя важное?"
12,2026-01-11,compliment,"Люблю наблюдать за тем, как ты танцуешь. Твои красивые движения просто одурманивают мой разум!"
13,2026-01-12,memory,"Иногда я думаю, как охуенно, что я тогда взял твой номер телефона"
14,2026-01-13,certificate,🎟 Сертификат на букет светлых ароматных цветов.
15,2026-01-14,compliment,Ты умеешь превратить обычную прогулку — в исследовательскую экспедицию по микромиру двора.
16,2026-01-15,support,Будь неидеальной! Будь собой! Это абсолютно нормально!
17,2026-01-16,compliment,"Ты как живое доказательство того, что самая большая сила — это умение оставаться мягкой в жёстком мире, не теряя своего стержня."
18,2026-01-17,game,Игра: если бы день был цветом — каким?
19,2026-01-18,compliment,"Ты — как редкая книга, написанная на языке, который понимаешь сердцем, где каждая новая глава открывает ещё одну удивительную грань."
20,2026-01-19,future,"Иногда я думаю о будущем, о том, как мы будем с тобой вместе путешествовать. Меня это так вдохновляет!"
21,2026-01-20,certificate,🎟 Сертификат на одежду — что-то удобное и красивое.
22,2026-01-21,compliment,"Ты умеешь видеть в человеке его лучшую, иногда ещё не проявленную версию и верить в неё так сильно, что он и сам начинает в это верить."
23,2026-01-22,support,"Порой так хочется отключаться от этого суетного мира, просто лежать, отдыхать и делать все по вдохновению, так и почему бы инет? "
24,2026-01-23,compliment,"Рядом с тобой легко быть собой, потому что ты не пытаешься переделать человека, а любопытно изучаешь его уникальную «архитектуру»."
25,2026-01-24,game,Вопрос дня: что сегодня хочется сохранить в памяти?
26,2026-01-25,compliment,Как я люблю твою ослепительную улыбку! 
27,2026-01-26,memory,Иногда я вспоминаю наши вечерние созвоны.
28,2026-01-27,certificate,🎟 Сертификат на мороженое Maxiduo или любое шоколадное.
29,2026-01-28,compliment,"В споре ты атакуешь не человека, а проблему, и это превращает конфликт из битвы в совместный поиск решения."
30,2026-01-29,support,Сегодня можно не всё успеть — и это нормально
31,2026-01-30,compliment,Обожаю смотреть на твои глубокие населенные космосом глаза
32,2026-01-31,game,Как бы ты хотела провести этот день?
33,2026-02-01,compliment,"Ты далеко, однако своим сердцем я чувствую, что ты рядом всегда."
34,2026-02-02,future,"Думаю о том, как классно сьездить с тобой в Тай и купаться в океане"
35,2026-02-03,certificate,🎟 Сертификат на вещь из твоего вишлиста.
36,2026-02-04,compliment,Твоя энергия и харизма вдохновляет меня на мужественные поступки!
37,2026-02-05,support,Я рядом. Целую тебя.
38,2026-02-06,compliment,"Настоящая искренняя девочка, улыбнись, зайка"
39,2026-02-07,game,Какой музыкой ты бы описала сегодняшний день?
40,2026-02-08,compliment,Ты создаешь ощущение уюта и спокойствия
41,2026-02-09,memory,"Вспомнаю наш секс на лестнице и мне так приятно становится внутри, аж огонь внутри"
42,2026-02-10,certificate,🎟 Сертификат на пиццу с рукколой и ветчиной или с грушей и горгонзоллой.
43,2026-02-11,compliment,Ты самая красивая девушка в мире
44,2026-02-12,support,"Ослабь хватку, спрячь коготки в лапки, будь сегодня милой кошечкой! "
45,2026-02-13,compliment,"Ты не боишься будущего, потому что смотришь на него не как на угрозу, а как на чистый холст, на котором можно рисовать вместе."
46,2026-02-14,game,Какое событие сегодня тебя окрыляет на действия?
47,2026-02-15,compliment,Мы как инь и ян. Дополняем друг друга в своем совершенстве
48,2026-02-16,future,Куплю двухэтажный дом и посажу дерево. А ты будешь высаживать свои любимые цветы
49,2026-02-17,certificate,🎟 Сертификат на «увидела — захотела — купили».
50,2026-02-18,compliment,"Ты ценишь не только большие достижения, но и микро-победы каждого дня, и этим учишь праздновать саму ткань жизни."
51,2026-02-19,support,Все испытания временны.
52,2026-02-20,compliment,Мы такие красивые с тобой вдвоем! 
53,2026-02-21,game,"Игра: назови одно слово, которым опишешь этот день."
54,2026-02-22,compliment,"Даже свою грусть ты проживаешь с изяществом, не разрушаясь, а как бы внимательно изучая её, словно сложную, но важную мелодию."
55,2026-02-23,memory,"Иногда я думаю, как многое у нас уже есть."
56,2026-02-24,certificate,🎟 Сертификат на ароматическую свечу — уют гарантирован.
57,2026-02-25,compliment,"Ты как самый яркий лучик солнца. Танцуешь, светишься, горишь!"
58,2026-02-26,support,Будь собой. Все просто
59,2026-02-27,compliment,"Ты сводишь меня с ума, милая."
60,2026-02-28,game,Опиши свое состояние одним словом.
61,2026-03-01,compliment,Ты создаёшь ощущение спокойствия.
62,2026-03-02,future,Мы только в начале пути.
63,2026-03-03,compliment,"Обожаю то, как ты красиво и уверенно танцуешь. Смотреть на тебя — сплошное удовольствие!"
64,2026-03-04,memory,"Помнишь, как классно мы провели время на Масленице? Блины, смех и ты рядом — идеальный день."
65,2026-03-05,certificate,"🎟 Сертификат на твою любимую шоколадку — Milka или риттер спорт, выберешь сама!"
66,2026-03-06,memory,С теплотой вспоминаю нашу поездку в Беларусь с Софой. Это было море классных эмоций и уютных вечеров!
67,2026-03-07,compliment,"В тебе есть эта потрясающая искра, которая зажигает всё вокруг и делает жизнь ярче."
68,2026-03-08,special,"С 8 Марта, моя весна! Пусть твои глаза всегда так же сияют, а внутри будет тепло и спокойно. Ты невероятная."
69,2026-03-09,support,"В любых непонятных ситуациях знай: я за тебя, я с тобой, я рядом."
70,2026-03-10,certificate,🎟 Сертификат на вкуснейший десерт к чаю — эклер или кусочек шоколадного торта.
71,2026-03-11,compliment,"Я тащусь от твоей улыбки. Серьезно, она делает мой день лучше."
72,2026-03-12,game,Какой момент из наших встреч ты вспоминаешь чаще всего?
